Sales+Ops Demand Supply — Append1 (auto-computed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Group,Item Code,Product Class,Original Forecast,Ops+Sales-Reviewed Forecast Committed,Ops Adjustment (vs Forecast),Actual Sales Demand,"Additional Demand (Punched, Not Committed)",Forecast Accuracy %,Opening Inventory,Actual Production,Stock Adjustment (Added),Stock Adjustment (Deducted),Total Available Inventory,Type (MTS/MTO),Actual Dispatch,Dispatch %,Closing Inventory,Green Level,Free Inventory (Above Green Level),Uncovered Shortfall,Dispatch Gap (Shippable from Stock),Shortfall on Additional Demand (Excluded from Ops),Demand Reduction Adjustment (Sales Pullback),Production-Driven Shortfall,Production Surplus,Excess Opening Stock (Above Demand+Safety),Excess Dispatched,Sales Insight Tag,Sales Narrative,Operations Insight Tag,Operations Narrative,Ops Capacity Gap Narrative,Surplus Production (₹),Excess Opening Stock Value (₹),Build Required,Production Counted,Production-Driven Shortfall (₹),Dispatch Gap (Shippable from Stock) (₹),Shortfall on Additional Demand (₹),Demand Reduction Adjustment (₹),Excess Dispatch Value (₹),Excess Dispatched from Op Stock,Excess Dispatch from Surplus Production,Excess Dispatch from Op Stock Value (₹),Excess Dispatch from Surplus Production Value (₹)
TB 74,2SQTX M05 B06 117 MH,Regular,600.0,600.0,,600.0,,100%,1545.0,,,,1545.0,MTO,,0.0%,1545.0,,1545.0,600.0,600.0,,,,,945.0,,Short Delivery | Forecast Bullseye,Dispatch 0% of committed (0 vs 600). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 600 units.,Healthy Stock,Produced 0 units against committed 600 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,38209.15,,,,,,,,,,,
Brake Booster,BB2424TM1664,Regular,,,,,,,,,3960.0,1980.0,1980.0,TBC,1980.0,,0.0,,,,,,,,,,1980.0,Forecast Bullseye,"Dispatch 1,980 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 1,980 units.",Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,1980.0,,
Others,BC M01 B10 133 MRY4,Regular,,,,,,,,4425.0,9425.0,9425.0,4425.0,TBC,,,4425.0,,4425.0,,,,,,4425.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,"Produced 4,425 units against committed 0 units.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
Others,CC M11 B14 35 AL,Regular,5400.0,5400.0,,5400.0,,100%,25.0,,,,25.0,MTO,,0.0%,25.0,,25.0,5400.0,25.0,,,5375.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 5,400). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 5,400 units.",Production Shortfall,"Produced 0 units against committed 5,400 units. Shortfall of 5,375 units — expedite production or procure.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,5375.0,,,,,,,,,,
Others,CD M01 B01 50 X 40 (JNIL),Regular,,,,,,,,500.0,500.0,500.0,500.0,MTO,500.0,,0.0,,,,,,,,500.0,,500.0,Forecast Bullseye,Dispatch 500 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 500 units.,Over-Production,Produced 500 units against committed 0 units. Red flag — produced 500 units more than ordered. Investigate planning breakdown.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,500.0,,
Coupling,CD M01 B01 75 X 50 (JNIL),Regular,,,,,,,,400.0,400.0,400.0,400.0,TBC,400.0,,0.0,,,,,,,,400.0,,400.0,Forecast Bullseye,Dispatch 400 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 400 units.,Healthy Stock,Produced 400 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,400.0,,
Coupling,CW M01 B01 100 (JNIL),Regular,,,,,,,,65200.0,85000.0,85000.0,65200.0,MTS,55000.0,,10200.0,35450.0,,,,,,,29750.0,,55000.0,Forecast Bullseye,"Dispatch 55,000 units (no committed demand). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 55,000 units.",Stock-Out Risk | Production Surplus,"Produced 65,200 units against committed 0 units. Closing 10,200 units. Green level 35,450 (0.3x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,35450.0,35450.0,,,,,,,55000.0,,
Coupling,CW M01 B01 150(JNIL),Regular,,,,,,,,14250.0,11450.0,11450.0,14250.0,MTS,7450.0,,6800.0,3012.5,3787.5,,,,,,11237.5,,7450.0,Forecast Bullseye,"Dispatch 7,450 units (no committed demand). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 7,450 units.",Production Surplus,"Produced 14,250 units against committed 0 units.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,3012.5,3012.5,,,,,,,7450.0,,
Coupling,CW M01 B01 200 (JNIL),Regular,,,,,,,,960.0,1650.0,1650.0,960.0,MTS,1650.0,,-690.0,1198.0,,,,,,,,,1650.0,Forecast Bullseye,"Dispatch 1,650 units (no committed demand). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 1,650 units.",Stock-Out Risk,"Produced 960 units against committed 0 units. Closing -690 units. Green level 1,198 (-0.6x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,1198.0,960.0,,,,,,,1650.0,,
Coupling,CW M01 B01 250 (JNIL),Regular,,,,,,,,250.0,625.0,625.0,250.0,MTS,625.0,,-375.0,300.0,,,,,,,,,625.0,Forecast Bullseye,Dispatch 625 units (no committed demand). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 625 units.,Stock-Out Risk,Produced 250 units against committed 0 units. Closing -375 units. Green level 300 (-1.2x cover) — ⚠ Safety breach — replenish urgently.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,300.0,250.0,,,,,,,625.0,,
